X,T,U
-1.0,0.0,-1.0
-1.0,0.02,-0.9981468633024022
-1.0,0.04,-0.9974524914693046
-1.0,0.06,-0.9972687484688372
-1.0,0.08,-0.9973261719281219
-1.0,0.1,-0.9974990528039407
-1.0,0.12,-0.9977232022184289
-1.0,0.14,-0.9979639402325529
-1.0,0.16,-0.9982021296012842
-1.0,0.18,-0.998427386269094
-1.0,0.2,-0.9986344643730196
-1.0,0.22,-0.9988211936349699
-1.0,0.24,-0.9989872440523762
-1.0,0.26,-0.9991333625838813
-1.0,0.28,-0.9992608932430225
-1.0,0.3,-0.9993714737192025
-1.0,0.32,-0.9994668447444539
-1.0,0.34,-0.9995487326124459
-1.0,0.36,-0.9996187795377498
-1.0,0.38,-0.999678505324819
-1.0,0.4,-0.999729289392272
-1.0,0.42,-0.9997723658269297
-1.0,0.44,-0.9998088265491851
-1.0,0.46,-0.9998396292901107
-1.0,0.48,-0.9998656081796609
-1.0,0.5,-0.9998874854959158
-1.0,0.52,-0.9999058836391688
-1.0,0.54,-0.9999213367456946
-1.0,0.56,-0.9999343015951493
-1.0,0.58,-0.9999451676265838
-1.0,0.6,-0.9999542659848464
-1.0,0.62,-0.9999618775887649
-1.0,0.64,-0.9999682402557044
-1.0,0.66,-0.9999735549428794
-1.0,0.68,-0.9999779911791236
-1.0,0.7,-0.9999816917664706
-1.0,0.72,-0.9999847768309376
-1.0,0.74,-0.9999873472989234
-1.0,0.76,-0.9999894878704658
-1.0,0.78,-0.9999912695546843
-1.0,0.8,-0.9999927518263667
-1.0,0.82,-0.9999939844559077
-1.0,0.84,-0.9999950090590807
-1.0,0.86,-0.9999958604068857
-1.0,0.88,-0.9999965675302418
-1.0,0.9,-0.9999971546494045
-1.0,0.92,-0.9999976419537397
-1.0,0.94,-0.9999980462543981
-1.0,0.96,-0.9999983815307405
-1.0,0.98,-0.9999986593894367
-1.0,1.0,-0.9999988894533967
-0.984375,0.0,-0.9678269447456859
-0.984375,0.02,-0.9734017295040178
-0.984375,0.04,-0.9780570118902566
-0.984375,0.06,-0.9819165487348538
-0.984375,0.08,-0.985109723549519
-0.984375,0.1,-0.9877479495823469
-0.984375,0.12,-0.9899247617590206
-0.984375,0.14,-0.9917186332242516
-0.984375,0.16,-0.9931953761414455
-0.984375,0.18,-0.9944100436395504
-0.984375,0.2,-0.9954085243001245
-0.984375,0.22,-0.9962289309808671
-0.984375,0.24,-0.996902820096701
-0.984375,0.26,-0.9974562541373173
-0.984375,0.28,-0.9979107166899227
-0.984375,0.3,-0.9982838914640396
-0.984375,0.32,-0.9985903192078911
-0.984375,0.34,-0.998841947507032
-0.984375,0.36,-0.9990485883098419
-0.984375,0.38,-0.9992182970454373
-0.984375,0.4,-0.9993576857852193
-0.984375,0.42,-0.9994721813307662
-0.984375,0.44,-0.999566237563116
-0.984375,0.46,-0.9996435099554478
-0.984375,0.48,-0.9997069988750009
-0.984375,0.5,-0.9997591671925117
-0.984375,0.52,-0.9998020367726637
-0.984375,0.54,-0.999837267622388
-0.984375,0.56,-0.9998662228083381
-0.984375,0.58,-0.9998900217018669
-0.984375,0.6,-0.9999095836523118
-0.984375,0.62,-0.9999256638125319
-0.984375,0.64,-0.9999388825301736
-0.984375,0.66,-0.9999497494635373
-0.984375,0.68,-0.999958683371643
-0.984375,0.7,-0.9999660283569074
-0.984375,0.72,-0.9999720671982368
-0.984375,0.74,-0.999977032297372
-0.984375,0.76,-0.9999811146669506
-0.984375,0.78,-0.9999844713116381
-0.984375,0.8,-0.9999872312905278
-0.984375,0.82,-0.9999895006968273
-0.984375,0.84,-0.9999913667488576
-0.984375,0.86,-0.999992901151066
-0.984375,0.88,-0.9999941628550328
-0.984375,0.9,-0.9999952003268932
-0.984375,0.92,-0.9999960534083885
-0.984375,0.94,-0.9999967548436788
-0.984375,0.96,-0.9999973315326836
-0.984375,0.98,-0.9999978055620702
-0.984375,1.0,-0.9999981950569928
-0.96875,0.0,-0.9339575413398252
-0.96875,0.02,-0.9449445735616305
-0.96875,0.04,-0.9542386244620265
-0.96875,0.06,-0.9620551178873143
-0.96875,0.08,-0.9686000948724289
-0.96875,0.1,-0.9740603601743087
-0.96875,0.12,-0.9786016478391939
-0.96875,0.14,-0.9823688560197875
-0.96875,0.16,-0.9854871825485302
-0.96875,0.18,-0.9880637607353909
-0.96875,0.2,-0.990189541034245
-0.96875,0.22,-0.9919412364090163
-0.96875,0.24,-0.9933832095240323
-0.96875,0.26,-0.9945692282746113
-0.96875,0.28,-0.9955440516119899
-0.96875,0.3,-0.9963448317695276
-0.96875,0.32,-0.9970023344347411
-0.96875,0.34,-0.9975419875596356
-0.96875,0.36,-0.9979847743235556
-0.96875,0.38,-0.998347987733102
-0.96875,0.4,-0.9986458645241167
-0.96875,0.42,-0.9988901151553329
-0.96875,0.44,-0.9990903652464246
-0.96875,0.46,-0.9992545221341393
-0.96875,0.48,-0.999389078497237
-0.96875,0.5,-0.9994993633508278
-0.96875,0.52,-0.9995897491955181
-0.96875,0.54,-0.9996638227537307
-0.96875,0.56,-0.9997245255416198
-0.96875,0.58,-0.9997742695034411
-0.96875,0.6,-0.9998150320633217
-0.96875,0.62,-0.9998484342117842
-0.96875,0.64,-0.9998758046237308
-0.96875,0.66,-0.9998982322856701
-0.96875,0.68,-0.9999166096771834
-0.96875,0.7,-0.999931668192509
-0.96875,0.72,-0.9999440071902301
-0.96875,0.74,-0.9999541178129797
-0.96875,0.76,-0.9999624025157748
-0.96875,0.78,-0.9999691910741588
-0.96875,0.8,-0.9999747537055022
-0.96875,0.82,-0.9999793118229927
-0.96875,0.84,-0.9999830468490127
-0.96875,0.86,-0.9999861074374572
-0.96875,0.88,-0.9999886153914135
-0.96875,0.9,-0.9999906705107866
-0.96875,0.92,-0.9999923545620751
-0.96875,0.94,-0.9999937345283382
-0.96875,0.96,-0.9999948652705029
-0.96875,0.98,-0.999995791708655
-0.96875,1.0,-0.999996550613542
-0.953125,0.0,-0.8986146956979858
-0.953125,0.02,-0.9147020127369343
-0.953125,0.04,-0.92853741470518
-0.953125,0.06,-0.9403440915081551
-0.953125,0.08,-0.9503536811497095
-0.953125,0.1,-0.9587922587622105
-0.953125,0.12,-0.9658724877377192
-0.953125,0.14,-0.9717890446269657
-0.953125,0.16,-0.9767163864959805
-0.953125,0.18,-0.9808082233635675
-0.953125,0.2,-0.9841981554683337
-0.953125,0.22,-0.9870010364440847
-0.953125,0.24,-0.9893147297523603
-0.953125,0.26,-0.9912220219087475
-0.953125,0.28,-0.9927925347240452
-0.953125,0.3,-0.9940845387942197
-0.953125,0.32,-0.9951466138058909
-0.953125,0.34,-0.9960191310105903
-0.953125,0.36,-0.9967355526799605
-0.953125,0.38,-0.9973235553061508
-0.953125,0.4,-0.9978059900280991
-0.953125,0.42,-0.9982016969682648
-0.953125,0.44,-0.9985261911120338
-0.953125,0.46,-0.9987922369351523
-0.953125,0.48,-0.9990103277830666
-0.953125,0.5,-0.999189084425532
-0.953125,0.52,-0.9993355855008782
-0.953125,0.54,-0.9994556408782238
-0.953125,0.56,-0.9995540173887959
-0.953125,0.58,-0.9996346249512843
-0.953125,0.6,-0.9997006698563538
-0.953125,0.62,-0.9997547808817046
-0.953125,0.64,-0.9997991129706717
-0.953125,0.66,-0.9998354324105444
-0.953125,0.68,-0.999865186774485
-0.953125,0.7,-0.9998895623276145
-0.953125,0.72,-0.9999095311273122
-0.953125,0.74,-0.9999258896566734
-0.953125,0.76,-0.9999392905055563
-0.953125,0.78,-0.9999502683453358
-0.953125,0.8,-0.9999592612218624
-0.953125,0.82,-0.9999666280080588
-0.953125,0.84,-0.9999726627074234
-0.953125,0.86,-0.9999776061753947
-0.953125,0.88,-0.9999816557234634
-0.953125,0.9,-0.999984972987084
-0.953125,0.92,-0.9999876903697452
-0.953125,0.94,-0.9999899163198049
-0.953125,0.96,-0.9999917396520255
-0.953125,0.98,-0.9999932330887622
-0.953125,1.0,-0.999994456165335
-0.9375,0.0,-0.8620183128544018
-0.9375,0.02,-0.8828101120934557
-0.9375,0.04,-0.9010002865884055
-0.9375,0.06,-0.9167598431379312
-0.9375,0.08,-0.9302974210074563
-0.9375,0.1,-0.9418399756641782
-0.9375,0.12,-0.9516183190964509
-0.9375,0.14,-0.9598564893199877
-0.9375,0.16,-0.9667645530456617
-0.9375,0.18,-0.9725343099746824
-0.9375,0.2,-0.977337267932395
-0.9375,0.22,-0.9813242692360932
-0.9375,0.24,-0.9846262295100131
-0.9375,0.26,-0.9873555585505055
-0.9375,0.28,-0.9896079416932879
-0.9375,0.3,-0.991464255463433
-0.9375,0.32,-0.9929924679367746
-0.9375,0.34,-0.9942494321282866
-0.9375,0.36,-0.9952825222325203
-0.9375,0.38,-0.99613109090036
-0.9375,0.4,-0.9968277441399502
-0.9375,0.42,-0.9973994416346985
-0.9375,0.44,-0.9978684364789434
-0.9375,0.46,-0.9982530712040167
-0.9375,0.48,-0.9985684477082882
-0.9375,0.5,-0.9988269881578342
-0.9375,0.52,-0.9990389026608775
-0.9375,0.54,-0.9992125779133862
-0.9375,0.56,-0.9993548993023984
-0.9375,0.58,-0.9994715172791406
-0.9375,0.6,-0.999567067255117
-0.9375,0.62,-0.9996453508698802
-0.9375,0.64,-0.9997094852413551
-0.9375,0.66,-0.9997620257369261
-0.9375,0.68,-0.9998050668844571
-0.9375,0.7,-0.9998403252629808
-0.9375,0.72,-0.9998692075556977
-0.9375,0.74,-0.9998928663976312
-0.9375,0.76,-0.9999122461910321
-0.9375,0.78,-0.9999281206800664
-0.9375,0.8,-0.9999411237599458
-0.9375,0.82,-0.99995177473377
-0.9375,0.84,-0.9999604990145788
-0.9375,0.86,-0.999967645091675
-0.9375,0.88,-0.9999734984332789
-0.9375,0.9,-0.9999782928768398
-0.9375,0.92,-0.9999822199591306
-0.9375,0.94,-0.9999854365574579
-0.9375,0.96,-0.9999880711480721
-0.9375,0.98,-0.9999902289339575
-0.9375,1.0,-0.9999919960498596
-0.921875,0.0,-0.8243844707935077
-0.921875,0.02,-0.8494099847766219
-0.921875,0.04,-0.8716866546029729
-0.921875,0.06,-0.8912898579808144
-0.921875,0.08,-0.9083633331472034
-0.921875,0.1,-0.9230977440951149
-0.921875,0.12,-0.9357114726147435
-0.921875,0.14,-0.9464343673393804
-0.921875,0.16,-0.955495057468563
-0.921875,0.18,-0.9631118723700207
-0.921875,0.2,-0.9694869870556688
-0.921875,0.22,-0.9748032018272961
-0.921875,0.24,-0.979222714831413
-0.921875,0.26,-0.9828872964579403
-0.921875,0.28,-0.9859193728514806
-0.921875,0.3,-0.988423637123141
-0.921875,0.32,-0.9904889108700423
-0.921875,0.34,-0.9921900659507946
-0.921875,0.36,-0.9935898846491351
-0.921875,0.38,-0.9947407866518068
-0.921875,0.4,-0.9956863865725454
-0.921875,0.42,-0.9964628693547051
-0.921875,0.44,-0.9971001858107691
-0.921875,0.46,-0.997623079323562
-0.921875,0.48,-0.9980519592968611
-0.921875,0.5,-0.998403638751706
-0.921875,0.52,-0.9986919535526301
-0.921875,0.54,-0.9989282798280289
-0.921875,0.56,-0.9991219646982107
-0.921875,0.58,-0.999280683750241
-0.921875,0.6,-0.9994107369908987
-0.921875,0.62,-0.9995172933793162
-0.921875,0.64,-0.9996045925473988
-0.921875,0.66,-0.999676110985235
-0.921875,0.68,-0.9997346988049086
-0.921875,0.7,-0.9997826921935332
-0.921875,0.72,-0.9998220058111441
-0.921875,0.74,-0.9998542086660496
-0.921875,0.76,-0.999880586392596
-0.921875,0.78,-0.9999021923483632
-0.921875,0.8,-0.9999198895247818
-0.921875,0.82,-0.9999343849137508
-0.921875,0.84,-0.999946257682339
-0.921875,0.86,-0.9999559822669497
-0.921875,0.88,-0.9999639472997953
-0.921875,0.9,-0.9999704711170488
-0.921875,0.92,-0.9999758144635813
-0.921875,0.94,-0.9999801908993895
-0.921875,0.96,-0.9999837753235692
-0.921875,0.98,-0.9999867109582109
-0.921875,1.0,-0.9999891150740221
-0.90625,0.0,-0.785924631201941
-0.90625,0.02,-0.8146531346695054
-0.90625,0.04,-0.8406727611280942
-0.90625,0.06,-0.863937062415474
-0.90625,0.08,-0.8844928320970392
-0.90625,0.1,-0.9024614350297774
-0.90625,0.12,-0.9180184927036108
-0.90625,0.14,-0.9313740962711929
-0.90625,0.16,-0.9427553893420482
-0.90625,0.18,-0.9523925365173106
-0.90625,0.2,-0.960508345607108
-0.90625,0.22,-0.967311291428657
-0.90625,0.24,-0.9729914035747755
-0.90625,0.26,-0.9777183800544772
-0.90625,0.28,-0.9816413095095279
-0.90625,0.3,-0.9848894703670253
-0.90625,0.32,-0.9875737848450046
-0.90625,0.34,-0.9897886139412871
-0.90625,0.36,-0.99161367353578
-0.90625,0.38,-0.9931159269267463
-0.90625,0.4,-0.9943513656873416
-0.90625,0.42,-0.995366631150792
-0.90625,0.44,-0.9962004563534353
-0.90625,0.46,-0.9968849260513999
-0.90625,0.48,-0.9974465631963769
-0.90625,0.5,-0.9979072561676611
-0.90625,0.52,-0.9982850437366688
-0.90625,0.54,-0.998594775360969
-0.90625,0.56,-0.9988486637884915
-0.90625,0.58,-0.9990567456530401
-0.90625,0.6,-0.9992272641223762
-0.90625,0.62,-0.9993669859485712
-0.90625,0.64,-0.9994814636027434
-0.90625,0.66,-0.9995752516288492
-0.90625,0.68,-0.999652084959213
-0.90625,0.7,-0.9997150257102473
-0.90625,0.72,-0.9997665839164085
-0.90625,0.74,-0.9998088167532754
-0.90625,0.76,-0.9998434100312418
-0.90625,0.78,-0.9998717450935901
-0.90625,0.8,-0.9998949537101535
-0.90625,0.82,-0.9999139631052053
-0.90625,0.84,-0.9999295328824896
-0.90625,0.86,-0.9999422852984075
