X,T,U
-1.0,0.0,1.2246467991473532e-16
-1.0,0.02,8.843684024078027e-17
-1.0,0.04,1.318583865564911e-17
-1.0,0.06,-6.169586588642097e-17
-1.0,0.08,1.8073626507562345e-16
-1.0,0.1,-1.0578419995128974e-16
-1.0,0.12,-1.7378220455660991e-16
-1.0,0.14,-9.392349472248496e-16
-1.0,0.16,1.7588032342746443e-15
-1.0,0.18,-1.200262747060603e-14
-1.0,0.2,4.5751169181626885e-14
-1.0,0.22,-6.021712538116503e-14
-1.0,0.24,-5.022764304806628e-13
-1.0,0.26,-1.7150682337282223e-12
-1.0,0.28,-6.995306664422377e-13
-1.0,0.3,-4.5788029582344416e-12
-1.0,0.32,6.4598645356244755e-12
-1.0,0.34,-2.741495614442825e-11
-1.0,0.36,-7.375893393730128e-12
-1.0,0.38,6.5423834510810275e-12
-1.0,0.4,-4.7866208142379744e-12
-1.0,0.42,-1.6623643436951802e-11
-1.0,0.44,-1.1037154929868463e-11
-1.0,0.46,-2.382235822567881e-11
-1.0,0.48,-1.837936131930043e-11
-0.96,0.0,0.12533323356430454
-0.96,0.02,0.11756356523387133
-0.96,0.04,0.11073490567356141
-0.96,0.06,0.10468160264345479
-0.96,0.08,0.09927548538064009
-0.96,0.1,0.09441567983050592
-0.96,0.12,0.09002161145785725
-0.96,0.14,0.08602806913870198
-0.96,0.16,0.0823816621303394
-0.96,0.18,0.0790382238087867
-0.96,0.2,0.07596087885288713
-0.96,0.22,0.07311857921820428
-0.96,0.24,0.07048498076812527
-0.96,0.26,0.06803757098600414
-0.96,0.28,0.06575698632213775
-0.96,0.3,0.06362647557404719
-0.96,0.32,0.06163147619223399
-0.96,0.34,0.05975927618651419
-0.96,0.36,0.05799873789053935
-0.96,0.38,0.05634006677857723
-0.96,0.4,0.05477461347997847
-0.96,0.42,0.05329470424001493
-0.96,0.44,0.051893497721402386
-0.96,0.46,0.05056486630609482
-0.96,0.48,0.049303298909627244
-0.92,0.0,0.2486898871648548
-0.92,0.02,0.23357762144559183
-0.92,0.04,0.2202354143640304
-0.92,0.06,0.20836602261098672
-0.92,0.08,0.19773550240787738
-0.92,0.1,0.18815723701529968
-0.92,0.12,0.1794805429133962
-0.92,0.14,0.17158239048467497
-0.92,0.16,0.16436131828849715
-0.92,0.18,0.15773288641376376
-0.92,0.2,0.1516262387626052
-0.92,0.22,0.14598146846707483
-0.92,0.24,0.1407475790042556
-0.92,0.26,0.135880888506344
-0.92,0.28,0.13134376479389054
-0.92,0.3,0.12710360687282662
-0.92,0.32,0.12313201412300577
-0.92,0.34,0.11940410547387499
-0.92,0.36,0.11589796553737616
-0.92,0.38,0.11259419964308516
-0.92,0.4,0.10947557996299587
-0.92,0.42,0.10652676123971698
-0.92,0.44,0.10373404650085487
