X,T,U
-1.0,0.0,-1.0
-1.0,0.02,-0.9977939513388326
-1.0,0.04,-0.9913218454369884
-1.0,0.06,-0.9809870840142139
-1.0,0.08,-0.96736480677002
-1.0,0.1,-0.951103844582921
-1.0,0.12,-0.9328463885985138
-1.0,0.14,-0.9131765206581947
-1.0,0.16,-0.8925951430310779
-1.0,0.18,-0.8715136496131533
-1.0,0.2,-0.850258686823891
-1.0,0.22,-0.8290822971449836
-1.0,0.24,-0.8081740601259391
-1.0,0.26,-0.7876727892123614
-1.0,0.28,-0.7676749093674089
-1.0,0.3,-0.7482416182456937
-1.0,0.32,-0.7294134058703171
-1.0,0.34,-0.7112307324862637
-1.0,0.36,-0.6937399345007468
-1.0,0.38,-0.6769652799558813
-1.0,0.4,-0.6608598330765184
-1.0,0.42,-0.6452784237038104
-1.0,0.44,-0.6300127976755678
-1.0,0.46,-0.6148911343973348
-1.0,0.48,-0.5999008416605345
-1.0,0.5,-0.5852739913495218
-1.0,0.52,-0.571485238968668
-1.0,0.54,-0.5591471742735802
-1.0,0.56,-0.5488322717094549
-1.0,0.58,-0.5408767356797407
-1.0,0.6,-0.5352204514073493
-1.0,0.62,-0.5313261109188665
-1.0,0.64,-0.5282062880661016
-1.0,0.66,-0.524557925530154
-1.0,0.68,-0.518964458605097
-1.0,0.7,-0.5101051202195646
-1.0,0.72,-0.49692878860987766
-1.0,0.74,-0.4787887596868011
-1.0,0.76,-0.45555438495625095
-1.0,0.78,-0.42770164003647637
-1.0,0.8,-0.39635903664527194
-1.0,0.82,-0.3632708498564848
-1.0,0.84,-0.3306493984423645
-1.0,0.86,-0.30092748519781976
-1.0,0.88,-0.2764692799949528
-1.0,0.9,-0.2593128195942923
-1.0,0.92,-0.25098958490810297
-1.0,0.94,-0.2524255713488368
-1.0,0.96,-0.26390656147322783
-1.0,0.98,-0.2850894121758425
-1.0,1.0,-0.31504227841411264
-0.984375,0.0,-0.9987954562051724
-0.984375,0.02,-0.9934760930473256
-0.984375,0.04,-0.9840640594025686
-0.984375,0.06,-0.971070011250835
-0.984375,0.08,-0.9551330756551333
-0.984375,0.1,-0.9369246509339433
-0.984375,0.12,-0.9170780079650974
-0.984375,0.14,-0.8961485315780771
-0.984375,0.16,-0.874598545362826
-0.984375,0.18,-0.8527979532205877
-0.984375,0.2,-0.8310332730156963
-0.984375,0.22,-0.8095200692183288
-0.984375,0.24,-0.7884160416818846
-0.984375,0.26,-0.7678324782253816
-0.984375,0.28,-0.7478421808415827
-0.984375,0.3,-0.7284881736795273
-0.984375,0.32,-0.7098003305575551
-0.984375,0.34,-0.69181245226967
-0.984375,0.36,-0.6745570222035892
-0.984375,0.38,-0.6580280069684026
-0.984375,0.4,-0.6421374946310745
-0.984375,0.42,-0.6267122352328659
-0.984375,0.44,-0.6115574923922462
-0.984375,0.46,-0.596570765979543
-0.984375,0.48,-0.5818514303062967
-0.984375,0.5,-0.5677465839003475
-0.984375,0.52,-0.5547968184827002
-0.984375,0.54,-0.5435880757481728
-0.984375,0.56,-0.5345564619032901
-0.984375,0.58,-0.5278069472591794
-0.984375,0.6,-0.5229957794687021
-0.984375,0.62,-0.5193102920227941
-0.984375,0.64,-0.5155598129888483
-0.984375,0.66,-0.5103579256977063
-0.984375,0.68,-0.5023430787321027
-0.984375,0.7,-0.4903794085448981
-0.984375,0.72,-0.47371006283018957
-0.984375,0.74,-0.4520717023459508
-0.984375,0.76,-0.42578477442115675
-0.984375,0.78,-0.3958110477875193
-0.984375,0.8,-0.36374623727921407
-0.984375,0.82,-0.33171149662965527
-0.984375,0.84,-0.30213198834852667
-0.984375,0.86,-0.2774395433032972
-0.984375,0.88,-0.2597761434569362
-0.984375,0.9,-0.2507698282254288
-0.984375,0.92,-0.2514117132577941
-0.984375,0.94,-0.2620210825863082
-0.984375,0.96,-0.28227128849385397
-0.984375,0.98,-0.3112528056317618
-0.984375,1.0,-0.3475532098297839
-0.96875,0.0,-0.9951847266721969
-0.96875,0.02,-0.9868158775900108
-0.96875,0.04,-0.9745875268438771
-0.96875,0.06,-0.9591004711311177
-0.96875,0.08,-0.9410388756661613
-0.96875,0.1,-0.9210802337034243
-0.96875,0.12,-0.8998368148846883
-0.96875,0.14,-0.8778276821827593
-0.96875,0.16,-0.8554725731354271
-0.96875,0.18,-0.8330984570861307
-0.96875,0.2,-0.8109519132980655
-0.96875,0.22,-0.7892131574230296
-0.96875,0.24,-0.7680095368285366
-0.96875,0.26,-0.7474264191619304
-0.96875,0.28,-0.727514965215387
-0.96875,0.3,-0.7083026648670636
-0.96875,0.32,-0.6898106452802706
-0.96875,0.34,-0.6720645242962673
-0.96875,0.36,-0.6550778876663375
-0.96875,0.38,-0.6388107315769176
-0.96875,0.4,-0.6231391485596498
-0.96875,0.42,-0.6078788960471603
-0.96875,0.44,-0.5928731714910913
-0.96875,0.46,-0.5781086596861498
-0.96875,0.48,-0.5637987268260682
-0.96875,0.5,-0.5503815924126783
-0.96875,0.52,-0.5384157337898914
-0.96875,0.54,-0.5284002587015587
-0.96875,0.56,-0.5205802361005838
-0.96875,0.58,-0.5147973738861198
-0.96875,0.6,-0.5104269458283777
-0.96875,0.62,-0.5064220460846616
-0.96875,0.64,-0.5014619909317253
-0.96875,0.66,-0.49416804978643153
-0.96875,0.68,-0.4833267225722116
-0.96875,0.7,-0.4680712102484408
-0.96875,0.72,-0.4480093308958058
-0.96875,0.74,-0.4233139766203094
-0.96875,0.76,-0.3947841360844449
-0.96875,0.78,-0.3638567863572636
-0.96875,0.8,-0.33253341478143084
-0.96875,0.82,-0.3031945939522314
-0.96875,0.84,-0.2783145289681058
-0.96875,0.86,-0.26013898182237755
-0.96875,0.88,-0.25041352845212
-0.96875,0.9,-0.2502211197374219
-0.96875,0.92,-0.2599341509817519
-0.96875,0.94,-0.2792497554697808
-0.96875,0.96,-0.30727278297521
-0.96875,0.98,-0.34261951098940163
-0.96875,1.0,-0.3835224147563798
-0.953125,0.0,-0.989176509964781
-0.953125,0.02,-0.9778498066159079
-0.953125,0.04,-0.9629509081176245
-0.953125,0.06,-0.9451519461991079
-0.953125,0.08,-0.9251633461546847
-0.953125,0.1,-0.9036535326623485
-0.953125,0.12,-0.8812033720688555
-0.953125,0.14,-0.8582895380965858
-0.953125,0.16,-0.8352864024400761
-0.953125,0.18,-0.8124774238399536
-0.953125,0.2,-0.7900699965038626
-0.953125,0.22,-0.7682104424346965
-0.953125,0.24,-0.746997437349519
-0.953125,0.26,-0.7264921698176942
-0.953125,0.28,-0.706726342001762
